"Stkcd","Trddt","Dsmvtll"
"000338","2022-01-04","120000412.56"
"000338","2022-01-05","121153610.42"
"000338","2022-01-06","121560621.43"
"000338","2022-01-07","120475258.74"
"000338","2022-01-10","122510313.79"
"000338","2022-01-11","119254225.71"
"000338","2022-01-12","118711544.37"
"000338","2022-01-13","114709269.44"
"000338","2022-01-14","114777104.61"
"000338","2022-01-17","115116280.45"
"000338","2022-01-18","116540818.98"
"000338","2022-01-19","115930302.47"
"000338","2022-01-20","113895247.42"
"000338","2022-01-21","110435653.85"
"000338","2022-01-24","110774829.69"
"000338","2022-01-25","106229873.42"
"000338","2022-01-26","108739774.64"
"000338","2022-01-27","105822862.41"
"000338","2022-01-28","105144510.73"
"000338","2022-02-07","107111730.60"
"000338","2022-02-08","108671939.47"
"000338","2022-02-09","109011115.31"
"000338","2022-02-10","109078950.48"
"000338","2022-02-11","106772554.76"
"000338","2022-02-14","103448631.52"
"000338","2022-02-15","104194818.37"
"000338","2022-02-16","105551521.73"
"000338","2022-02-17","105348016.23"
"000338","2022-02-18","106094203.08"
"000338","2022-02-21","105687192.07"
"000338","2022-02-22","103652137.02"
"000338","2022-02-23","106162038.25"
"000338","2022-02-24","103923477.70"
"000338","2022-02-25","104398323.88"
"000338","2022-02-28","102838115.01"
"000338","2022-03-01","104398323.88"
"000338","2022-03-02","102905950.17"
"000338","2022-03-03","104398323.88"
"000338","2022-03-04","102227598.49"
"000338","2022-03-07","98632334.58"
"000338","2022-03-08","94019543.14"
"000338","2022-03-09","91306136.41"
"000338","2022-03-10","93137685.95"
"000338","2022-03-11","93816037.63"
"000338","2022-03-14","91306136.41"
"000338","2022-03-15","85743652.62"
"000338","2022-03-16","88321389.01"
"000338","2022-03-17","90966960.57"
"000338","2022-03-18","91577477.08"
"000338","2022-03-21","91780982.59"
"000338","2022-03-22","93273356.29"
"000338","2022-03-23","96054598.19"
"000338","2022-03-24","95037070.66"
"000338","2022-03-25","92187993.60"
"000338","2022-03-28","91645312.25"
"000338","2022-03-29","90424279.22"
"000338","2022-03-30","92798510.11"
"000338","2022-03-31","90559949.56"
"000338","2022-04-01","91238301.24"
"000338","2022-04-06","90831290.23"
"000338","2022-04-07","87982213.17"
"000338","2022-04-08","90152938.55"
"000338","2022-04-11","85472311.94"
"000338","2022-04-12","86693344.97"
"000338","2022-04-13","85404476.78"
"000338","2022-04-14","86286333.96"
"000338","2022-04-15","85811487.79"
"000338","2022-04-18","83572927.23"
"000338","2022-04-19","84251278.92"
"000338","2022-04-20","83437256.90"
"000338","2022-04-21","80113333.66"
"000338","2022-04-22","79774157.81"
"000338","2022-04-25","72854970.66"
"000338","2022-04-26","71973113.47"
"000338","2022-04-27","73736827.84"
"000338","2022-04-28","73601157.51"
"000338","2022-04-29","75907553.23"
"000338","2022-05-05","75161366.38"
"000338","2022-05-06","72719300.32"
"000338","2022-05-09","72108783.81"
"000338","2022-05-10","72447959.65"
"000338","2022-05-11","73261981.67"
"000338","2022-05-12","72583629.98"
"000338","2022-05-13","74008168.52"
"000338","2022-05-16","73329816.84"
"000338","2022-05-17","76653740.08"
"000338","2022-05-18","77603432.43"
"000338","2022-05-19","77739102.77"
"000338","2022-05-20","79638487.48"
"000338","2022-05-23","79367146.81"
"000338","2022-05-24","78485289.62"
"000338","2022-05-25","79231476.47"
"000338","2022-05-26","80045498.49"
"000338","2022-05-27","79502817.14"
"000338","2022-05-30","80249003.99"
"000338","2022-05-31","82148388.70"
"000338","2022-06-01","81673542.52"
"000338","2022-06-02","82826740.38"
"000338","2022-06-06","82962410.72"
"000338","2022-06-07","81470037.02"
"000338","2022-06-08","81877048.03"
"000338","2022-06-09","80452509.50"
"000338","2022-06-10","82419729.38"
"000338","2022-06-13","85811487.79"
"000338","2022-06-14","87100355.98"
"000338","2022-06-15","86489839.47"
"000338","2022-06-16","84997465.77"
"000338","2022-06-17","85743652.62"
"000338","2022-06-20","85336641.61"
"000338","2022-06-21","84929630.60"
"000338","2022-06-22","82419729.38"
"000338","2022-06-23","85540147.11"
"000338","2022-06-24","85404476.78"
"000338","2022-06-27","85879322.95"
"000338","2022-06-28","87575202.16"
"000338","2022-06-29","84861795.43"
"000338","2022-06-30","84590454.76"
"000338","2022-07-01","87236026.32"
"000338","2022-07-04","86082828.46"
"000338","2022-07-05","84319114.09"
"000338","2022-07-06","82351894.21"
"000338","2022-07-07","85540147.11"
"000338","2022-07-08","87643037.33"
"000338","2022-07-11","84454784.42"
"000338","2022-07-12","82826740.38"
"000338","2022-07-13","83030245.89"
"000338","2022-07-14","83844267.91"
"000338","2022-07-15","80452509.50"
"000338","2022-07-18","82691070.05"
"000338","2022-07-19","83572927.23"
"000338","2022-07-20","83369421.73"
"000338","2022-07-21","82758905.22"
"000338","2022-07-22","82555399.71"
"000338","2022-07-25","81402201.85"
"000338","2022-07-26","81605707.36"
"000338","2022-07-27","81198696.35"
"000338","2022-07-28","82080553.53"
"000338","2022-07-29","81198696.35"
"000338","2022-08-01","82284059.04"
"000338","2022-08-02","78485289.62"
"000338","2022-08-03","78078278.61"
"000338","2022-08-04","78620959.96"
"000338","2022-08-05","80113333.66"
"000338","2022-08-08","80656015.00"
"000338","2022-08-09","80723850.17"
"000338","2022-08-10","79841992.98"
"000338","2022-08-11","81402201.85"
"000338","2022-08-12","81130861.18"
"000338","2022-08-15","81063026.01"
"000338","2022-08-16","80520344.67"
"000338","2022-08-17","81334366.68"
"000338","2022-08-18","79841992.98"
"000338","2022-08-19","78960135.80"
"000338","2022-08-22","79367146.81"
"000338","2022-08-23","78620959.96"
"000338","2022-08-24","76925080.75"
"000338","2022-08-25","77196421.42"
"000338","2022-08-26","77467762.10"
"000338","2022-08-29","78824465.46"
"000338","2022-08-30","77806937.94"
"000338","2022-08-31","78892300.63"
"000338","2022-09-01","78010443.44"
"000338","2022-09-02","77806937.94"
"000338","2022-09-05","78078278.61"
"000338","2022-09-06","78688795.12"
"000338","2022-09-07","77942608.27"
"000338","2022-09-08","78078278.61"
"000338","2022-09-09","78417454.45"
"000338","2022-09-13","78553124.79"
"000338","2022-09-14","76653740.08"
"000338","2022-09-15","75907553.23"
"000338","2022-09-16","72787135.49"
"000338","2022-09-19","71905278.30"
"000338","2022-09-20","71973113.47"
"000338","2022-09-21","72380124.48"
"000338","2022-09-22","71226926.62"
"000338","2022-09-23","70141563.93"
"000338","2022-09-26","68445684.72"
"000338","2022-09-27","69056201.24"
"000338","2022-09-28","66207124.17"
"000338","2022-09-29","65121761.48"
"000338","2022-09-30","65257431.82"
